,index,Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other
38,7870,"USER Yang anda sebutkan itu jaman kapan Mas?! saat penjajahan!! sekarang kita sudah Merdeka, kalau tidak kerjasama dengan asing kita mau jadi apa? Korea Utara? anda Twitteran saja pakai produk asing..jangan tanggung kalau anti asing..!'",1,0,1,0,0,0,0,0,1
39,3618,"Sebelumnya, Presiden Joko Widodo mengetahui ada 34 proyek pembangkit listrik yang mangkrak.",0,0,0,0,0,0,0,0,0
40,12729,Meme pun nak cilok Indo punya ke? Dasar malingsia! Brengsek!',1,1,0,1,0,1,0,0,0
41,3859,USER USER myanmar kafir budha teroris,1,1,0,1,1,1,0,0,0
42,2030,"USER mls deh gwa baca nya, emg bener2 sok ganteng bgt si lw onta'",1,1,1,0,0,0,0,0,1
43,7123,"USER USER umar bin khatab kan punya jabatan,jadi pas kalo maslah negara atau politik,la kalo tengku dia jadi dpr atau jadi mentri,'",0,0,0,0,0,0,0,0,0
44,3172,"USER USER Sakedap, teh..\nPagi2 ini baru nyadar..\nBerarti bisa dibilang sayap kiri Israel lebih pro perdamaian dgn Palestina, dibanding sayap kanan?\nPadahal katanya mah, makin ke kanan itu lebih agamais, makin kiri lebih komunis? \xf0\",0,0,0,0,0,0,0,0,0
45,130,Gue tau loh bukan yang dulu yang masih culun dan cemen semua orang pasti akan berubah perlahan2 entah itu baik / buruk :)',0,0,0,0,0,0,0,0,0
46,387,Ko ingt aku buat banci ke gigih nk kira URL,0,1,0,0,0,0,0,0,0
47,921,"USER USER USER USER Mental itu selalu minta mobil rantis, minta dikawal polisi,. \n\nSayang banget tuh bis ga dilempar molotov ye, kayak di jl gatsu.\n\nmental itu bikin nazar nikah sama monyet ? Terus ? \n\nMental itu ngerusak stadion gbk? Aset negara, \n\nTerus ada yg dapet proyekan dari kementrian, lol'",0,1,0,0,0,0,0,0,0
48,2347,.; H. Imam Munandar (Gubernur Riau periode 1980-1985 dan 1985-1990) memperoleh gelar Datuk Sriâ?¦,0,0,0,0,0,0,0,0,0
49,6188,USER USER Maklum kaum onta pekok di indo otaknya di dengkul',1,1,0,1,0,0,0,0,1
50,12803,percuma dapat banyak medali kalo ujung-ujungnya cuma diajak teriak KAFIR LENGSERKAN..,1,1,0,1,1,0,0,0,0
51,4561,"Karena kebiasaan pake earphone ke mana-mana dan suka budek kalo ada yang nanya, tadi tiba-tiba ada bapak-bapak nanya dan aku gak denger dia nanya apa, tanganku refleks megang kuping, padahal lagi gak pake earphone :""( kumalu 2 detik\xf0\x9f\x98\xad\xf0\x9f\xa4\xa7'",0,0,0,0,0,0,0,0,0
52,9194,"USER Malaysia Baru MILIK HARAPAN &amp; RAKYAT yg menolak rejim najib razak pada pru14 lalu...maaf ya , bukan milik umno bongok'",0,0,0,0,0,0,0,0,0
53,12730,USER USER USER USER Kotbur? Wkwkkw mampus',1,1,1,0,0,0,0,0,1
54,10584,"USER Parahnya Lagi TK Aseng/Asing ampe 10jt yg mau di Nusantara kan Pak,... \xf0\x9f\x98\xac'",0,0,0,0,0,0,0,0,0
55,1619,"Warga Baduy setelah selesai memperingati tradisi Seba di Pendopo Pemkab Lebak akan dilanjutkan kembali bertemu dengan Gubernur Banten Wahidin Halim hari ini, Sabtu (21/4) #SebaBaduy2018; ; An",0,0,0,0,0,0,0,0,0
56,1631,"Kalau BANGSAT menjadi wakil rakyat, yg keluar dari mulutnya ya BANGSAT.\nKalau MONYET menjadi wakil rakyat, yang keluar dari mulutnya ya MONYET.\nKalau BABI menjadi wakil rakyat, yg keluar dari mulutnya ya BABI.\nKalau ANJING menjadi wakil rakyat, yg keluar dari mulutnya ya ANJ",1,1,0,1,0,0,0,0,1
57,467,"USER USER USER Hehehe akhirnya.....ternyata pasar kita global jg,tdk terbatas lokal. Akhirnya masi ada aseng dan asing juga. Kita jujur saja!..\xf0\x9f\x98\x86\xf0\x9f\x98\x86\xf0\x9f\x98\x86\xf0\x9f\x98\x86\xf0\x9f\x98\x86",0,0,0,0,0,0,0,0,0
58,4943,"Islam dan politik bagi umat Islam adalah tak bisa dipisahkan. Islam harus jadi landasan dalam beraktifitas politik. ; ; Politik tanpa landasan agama, yang terjadi adalah politik tanpa ruh, tanpa nilai. Hanya mengedepankan ambisi dan syahwat politik semata.",0,0,0,0,0,0,0,0,0
59,4777,"Jatim Anti Hoax, Deklarasi anti Hoax pilkada damai warga Sawahan",0,0,0,0,0,0,0,0,0
60,7241,USER Keren juga mas USER ini selain Survei BO juga merangkap kordinator cebong yah \xf0\x9f\x98\x82\xf0\x9f\x98\x82\nTL nya bnyk dukungan dr bani cebong .\nMantrraaaf \xf0\x9f\x98\x8a\xf0\x9f\x98\x8a',1,1,1,0,0,0,0,0,1
61,6345,"Kalau melihat agama dan kebudayaan, jadi teringat bagaimana budaya mempengaruhi orang2 Kristen Yunani dan Yahudi pd gereja purba dan konflik2nya, akhirnya Rasul Paulus pun turun tangan utk meredakan konflik yg ada, atau saat kita mempelajari hal itu dida",0,0,0,0,0,0,0,0,0
62,2391,"Ini lho mengkritik yg dimaui pak USER yaitu kritik tp ngasih solusi spt USER .. lha USER jg contoh pemimpin yg bener, dikritik malah bilang terimakasih..kalo pemimpin Kayak mereka semua, pasti Indonesia beres!! USER USER USER @",0,0,0,0,0,0,0,0,0
63,6418,Tugas umat Islam Indonesia masih berat; tegakkan hukum atau lengserkan jokowi.,1,0,1,0,0,0,0,0,1
64,9678,"Selama salat Jumat di RCTI, selalu takjub kalo gak radikal bgt pasti menyentuh hati banget. Hari ini takjub karena khotbah-nya tentang Rasul yang silaturahim dengan orang Yahudi, dan penyampaiannya juga oke banget.'",0,0,0,0,0,0,0,0,0
65,5227,USER zonk semua bangsad',1,1,0,1,0,0,0,0,1
66,771,USER Yaudah gwe mau demo minta pak Jokowi ngekick palkjihun dari dunia.,1,0,1,0,0,0,0,0,1
67,8725,Salah satu Hasil Rekomendasi Mukernas USER adalah mendukung USER sbg Presiden Republik Indonesia; #anismatta #rinduanismatta USER USER USER USER USER USER USER USER USER USER,0,0,0,0,0,0,0,0,0
68,4944,"USER USER USER USER Wah tambah goblog aja lo bong malah nyuruh gw yang lapor. Masalahnya itu ada dipikiranmu yg dungu. Makanya klo dibilangin orang yg benar diterima, jangan nyinyir. Mentang2 ngebelain suatu, omongan orang benar",1,1,1,0,0,0,0,0,1
69,2680,"17 April 2018, pd sidang Excecutive board UNESCO, Presiden UNESCO menyetujui hasil sidang komisi dgn ketukan palu tepat pada 16.20 wib artinya Geopark Ciletuh-Palabuhanratu sah menyandang predikat Ciletuh-Palabuhanratu Unesco Global Geopark #CPUGG #Congrat",0,0,0,0,0,0,0,0,0
70,4517,"Tyas Mirasih ? Pecun gitu, dulu bareng sama aku agency nya'",1,1,1,0,0,0,0,1,0
71,4934,"NGERI, JOKOWI SEPERTI HITLER DAN MUSSOLINI Seseorang disebut diktator dan otoriter bukan karena ucapannya,...",1,0,1,0,0,0,0,0,1
72,514,PENGOBATAN MONYET KEDIH URL,0,0,0,0,0,0,0,0,0
73,9425,"Hanya di rezim ini setelah 50 tahun dikuras, Papua merasakan hasil tambang Freeport. Semoga Papua tambah maju ekonominya dan merasakan bahwa ia berada di Indonesia.'",0,0,0,0,0,0,0,0,0
74,6486,"setelah beberapa kali nolak, suatu hari dia buka2 lemari nyari benang rajut.\nsetelah itu dia ngerajut tanpa henti sampe sekarang.\nentah udah berapa tas, pouch, clutch, taplak yang jadi. bahkan temen2 guru &amp; murid2 ikutan diajarin.'",0,0,0,0,0,0,0,0,0
75,4516,USER Oh yeke.. macam2 isu negara kapir ni',1,0,0,1,1,0,0,0,0
76,5720,Turunkan tirani !! Jangan mau kalah dengan tirani. Ahok sudah tumbang. Tinggal satu lagi tugas kita.,1,0,1,0,0,0,0,0,1
77,10821,"tp ini true bgt. Kyuhyun mana ada, di pantai aja pake manset gitu. udik dasar.\n\napalagi Jihoon.'",1,1,1,0,0,0,0,0,1
78,12754,"USER iyaa aku pernah beli, ke cas sih ke cas. cuman cepet abis yassalam:') tapi kalo beli di toko ini aku gatau kak siapa tau aja normal tidak cacat""",0,0,0,0,0,0,0,0,0
79,9640,kader USER ada yg fitnah jokowi sbg antek komunis contoh: USER Jd tau siapa yg mainkan isu PKI URL,1,0,1,0,0,0,0,0,1
80,2554,Kenapa ya gue punya kakak laki mulutnya lemes banget kek banci yg lagi marah.\n\nMentolo tak guak cangkem e.',1,1,1,0,0,0,0,1,0
81,2504,"Ngedance cewe gak bisa luwes, cowo gabisa nguci. Tai.'",0,1,0,0,0,0,0,0,0
82,10525,USER USER Marah tah Bang aku bilang Etnis Cina jgn kasi kesempatan memimpin Indonesia??? Cz mereka watak aslinya Menjajah?,1,0,0,1,0,1,0,0,0
83,12717,Yg Goblok KK!! Kecebong ngakunya Pancasila NKRI tapi otak dan hatinya komunis.. katanya rezim anti korupsi tp dlm 1 Minggu 7 kali OTT kpk,1,1,0,1,0,1,0,0,0
84,5050,Gamungkin dong gue ngemafia masa mainin 3 acc edan!!',0,1,0,0,0,0,0,0,0
85,11332,"USER Widih, nanti kamu saya pilih buat jadi presiden.",0,0,0,0,0,0,0,0,0
86,5441,"7. Keagamaan; Bagi melindungi kepelbagaian budaya dan kepercayaan, 25 masjid dibina, 6,500 jemaah haji diberi wang saku RM500, dan JAIS diperuntukkan RM421 juta sejak 2015. 260 rumah ibadat bukan Islam termasuk tokong, kuil, gereja &amp; gurdwara telah dil",0,0,0,0,0,0,0,0,0
87,10377,USER USER USER USER USER USER USER USER USER USER USER USER USER Gue rakyat indonesia sukarela memberantas cebong komunis.',1,1,0,1,0,1,0,0,0
88,7436,"Nyesel nya lebih"" \nkayak makan tai\'\nKlu tw gini mending gk usa'",0,1,0,0,0,0,0,0,0
89,10151,"Warga Baduy setelah selesai memperingati tradisi Seba di Pendopo Pemkab Lebak akan dilanjutkan kembali bertemu dengan Gubernur Banten Wahidin Halim hari ini, Sabtu (21/4) #SebaBaduy2018; ; Genpi USER USER USER USER USER",0,0,0,0,0,0,0,0,0
90,1448,"Gatot berpikir dia akan mujur seperti SBY. ; SBY bisa menjadi presiden momentnya tepat, tak ada saingan berarti. Kl Gatot... Saatnya g tepat. Karya nyatanya belum ada. Menjadikan Gatot capres... Sama dengan mati langkah.",0,0,0,0,0,0,0,0,0
91,4978,"USER USER Keliatan tukang pijat nya gk punya bf kayk saya,, jd doyan kontol kayk begitu'",0,1,0,0,0,0,0,0,0
92,8712,"Heran sama xl, lancar terus sinyalnya sklinya buka ml lgsg lag bajingan :( &lt;&gt;'",1,1,0,1,0,0,0,0,1
93,1532,"USER USER USER USER USER USER USER USER USER USER USER USER Di bagian mana ya lucunya: \nada manusia2 kena pecahan bom smp cacat seumur hidup, dan ada yg semb",0,0,0,0,0,0,0,0,0
94,2284,USER brisik lu bacot',1,1,1,0,0,0,0,0,1
95,11030,Jokowi Apresiasi Bandara Kertajati Cepat Selesai,0,0,0,0,0,0,0,0,0
96,4114,"USER Saya berharap Gubernur baru (Bapak Sutarmidji) dapat segera mengambil tindakan, karena mmg di jaman Cornelis (dibantu Rezim) kelihatan sangat mempermudah Cina masuk di beberapa sektor termasuk pertambangan yang salah satunya ada di Ketapang",0,0,0,0,0,0,0,0,0
97,4195,"Bentar kak,saya nanya dl sama pemuka agama kristen,katholik, budha , hindu dan kong hucu ya...biar ndak salah",0,0,0,0,0,0,0,0,0
98,3643,"itu pas gue baru aja ditampol si edi eh tyo, jd bibir gue menyon. barbar emang tuh si kunyuk\n\n- chandra URL",0,1,0,0,0,0,0,0,0
99,9979,"USER lucuuuu ! kalau kata kak woozi sih tuyul ya, lucu tuyulnya \xf0\x9f\x98\xb",0,0,0,0,0,0,0,0,0
100,5144,RT USER: Teriakin Ombusmin dan Ombusman Banci Kaleng....\n#OmbusdmanBanciKaleng URL,1,1,0,1,0,0,0,1,0
101,8929,Hidup the jack .... Hidup bobotoh.... Rezim jokowi akan musnah di 2019.,1,0,1,0,0,0,0,0,1
102,11164,USER USER USER USER USER USER Dasar muka tai babi loh mau tenar agama di bawa2.. Klw berani jgn share di medsos.. Umat siapa pun klw agama nya di hina2 pasti marah besar..!!! Dgn mudah nya langsung minta maaf.. Ayo FPI buruh dan cari o,1,1,1,0,1,0,1,0,0
103,9990,Ahelah! Katanya mau ngedeketin kubu muslim. Gimana bisa wong kehendak Tuhan aja cuma diitung jadi nomer dua. Ngga takut kena serangan jantung kayaknya. :p,1,0,1,0,1,0,0,0,0
104,9341,"USER Udeeeh kebiasaan sebelum tidur mobile data &amp; wifi off, all apps removed. Baru tadi malam kacrut.\n\nLol wne nunggu yang X Plus aje \xf0\x9f\xa4\xaa\xf0\x9f\x98\x8d'",0,1,0,0,0,0,0,0,0
105,7149,"Warga Baduy setelah selesai memperingati tradisi Seba di Pendopo Pemkab Lebak akan dilanjutkan kembali bertemu dengan Gubernur Banten Wahidin Halim hari ini,Â Sabtu (21/4); ; #SebaBaduy2018",0,0,0,0,0,0,0,0,0
106,5121,USER USER Mas...saya nanya hanzola. Jangan ikutan ngegas dong..\nKan dia yg komen akidah islam ga sama dgn katolik yg bisa pake inkulturasi ? Jadi harus dgn kekerasan kan ? Budaya dikalahkan.',0,0,0,0,0,0,0,0,0
107,6659,USER USER USER cupu loe bawa2 squad',1,1,1,0,0,0,0,0,1
108,2899,USER USER Tujuan dibikin kaca tuh biar nyadar pas kemaren lu ngehina ismed belom lagi dulu2 bepe sm diego michel (pbfc) tolol lu',1,1,1,0,0,0,0,0,1
109,7709,Gubernur rasa Presiden,0,0,0,0,0,0,0,0,0
110,2303,"USER \xe2\xa0\x80\n\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80 \xe3\x80\x8c Saya! Saya! Yang dulu bisu, kini sudah bisa bagi cuap-cuap! \xe3\x80\x8d'",0,0,0,0,0,0,0,0,0
111,10345,"Kak...kak...kak...kak...pd manggil kak semua, kyk lg ngeladeni adek2 imut culun di bawah umur, males ahh'",0,1,0,0,0,0,0,0,0
112,9229,Smoga Persija bisa mnjadi contoh awal klub yg ramah utk saudara kita yg di fabel. Dimulai dri panpel yg bisa menyediakan tiket khusus difabel dan cara mendapatkan nya pun lebih mudah. Dri pd bangku khusus difabel di dudukin aparat keamanan kan sayang bgt :,0,0,0,0,0,0,0,0,0
113,2724,USER Presiden rasa mapia #2019GantiPresiden,1,1,1,0,0,0,0,0,1
114,6833,RT USER: MANUSIA SINTING URL,1,1,1,0,0,0,1,0,0
115,8085,"USER bangkrut si USER jualan islam liberal padahal dana dr syiah sudah keluar banyak, banting setir ke Islam NUsantara di bantu sponsor oleh komunis \xf0\x9f\x98\x82'",0,0,0,0,0,0,0,0,0
116,1123,"USER USER USER USER USER Lu yg lebih dongo, suporter kok promosiin film wkwkwk sampe ikut berpolitik jga wkwkk #AingPersibAingPolitik'",1,1,1,0,0,0,0,0,1
117,3663,USER wkwkw bodo zof',0,1,0,0,0,0,0,0,0
118,12054,Sy pendukung Ahok tp g rela beliau jd gubernur stlh pengkhianatan yg dilakukan sbgn besar warga Jkt... URL,1,0,1,0,0,0,0,0,1
119,3626,"Biasakan mencari sumber berita yang jelas. Ini saya bantu kasih link, website resmi yang membangun bandaranya. Perencanaan memang udah lama, tapi groundbreaking dimulai 2016 oleh Jokowi.",0,0,0,0,0,0,0,0,0
120,8688,USER USER 2019 boomerang buat pak USER.. mulut USER,1,0,1,0,0,0,0,0,1
121,5043,"Anda didungukan, dijajah, dan diperbudak Islam, Muslim bukan ras tapi pilihan yg dpt diubah USER rasis?",1,1,0,1,1,0,0,0,0
122,8809,Babap tai.\nSampai bertemu nanti bap\nMun uing cageur \xf0\x9f\x98\x99 URL,0,1,0,0,0,0,0,0,0
123,9540,Sejumlah tokoh dari presiden ke-3 RI BJ Habibie hingga Ketua Dewan Pembina Golkar Aburizal Bakrie hadir #53thGolkar,0,0,0,0,0,0,0,0,0
124,1070,USER USER udik amat gabisa pecahin balon wkwk',0,1,0,0,0,0,0,0,0
125,3956,"USER USER setan itu semoga mencret 3 minggu berturut2, terus terlindas truk suhu'",1,1,1,0,0,0,0,0,1
126,6891,USER Cepet cepet punya anak ka.. Lucu sepertinya nanti sipit semua hehehe \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',0,0,0,0,0,0,0,0,0
127,988,Nama: Jonru Ginting Status: Terlapor Kasus: Ujaran Kebencian (diduga) Mendukung Anies-Sandi,1,0,1,0,0,0,0,0,1
128,9078,USER USER Wakil gubernur 1 tingkalakunya dalam berpakaian kaya anak kecil aja padahal seorang pejabat pemerintahan stres kali ni orang. ???,1,1,1,0,0,0,1,0,0
129,4869,"Kalo tolol tuh coba jangan di tunjukin ke orang, malu.'",1,1,1,0,0,0,0,0,1
130,1558,Kalau nak jadi:-; Pakar Ekonomi.. Masuk JASA; Pakar Perundangan.. Masuk JASA; Pakar Percukaian.. Masuk JASA; Pakar Strategi Komunikasi.. Masuk JASA; Pakar Polisi Antarabangsa.. Masuk JASA; Pakar Psikologi.. Masuk JASA; Universiti JASA untuk semua!; Kelayak,0,0,0,0,0,0,0,0,0
131,3274,USER Gapapa sipit juga cantik aku mah \xf0\x9f\x98\x86',0,0,0,0,0,0,0,0,0
132,1504,USER najis mesum mulu',0,1,0,0,0,0,0,0,0
133,11203,Kapan USER bikin film bakar2 Sekolahan buat pencitraan pak USER URL,1,0,1,0,0,0,0,0,1
134,2275,Qaumi ekjayati conference Jamiat ul ulama e hind ki public meeting se Barrister Asad uddin owaisi,0,0,0,0,0,0,0,0,0
135,9419,deklarasi pilkada 2018 aman dan anti hoax warga pejarakan jabon,0,0,0,0,0,0,0,0,0
136,8515,USER Ekonomi digital adalah bidang baru diberi perhatian kerajaan yg boleh create banyak peluang pekerjaan #JomBN,0,0,0,0,0,0,0,0,0
137,10529,"Percayalah bahawa setiap manusia di dunia ini diuji oleh Allah SWT. \n\n\xe2\x80\xa2 Yang kaya, diuji dgn sifat tamak.\n\xe2\x80\xa2 Yang miskin, diuji dgn kesusahan.\n\nPercayalah juga bahawa golongan LGBT diuji dengan lebih hebat kerana Allah menguji n",0,0,0,0,0,0,0,0,0
138,8522,Niqmat Gubernur mana lagi yang kamu dustakaaan..,0,0,0,0,0,0,0,0,0
139,9379,USER USER USER Hebat ya.\n Jokowi idola mentri termuda di Malaysia ini.. kampret &amp;onta mlh disini mencibir prestasi Presiden.',1,1,1,0,0,0,0,0,1
140,9238,"Riza Wahyu Pratama-""Aneh Bin Ajaib, Gaji Gubernur BI Lebih Tinggi Dari Presiden, Ini Besarannya"",",0,0,0,0,0,0,0,0,0
141,11999,USER Yg penting gk seasem kebijakan rezim si dilan mbak \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',0,0,0,0,0,0,0,0,0
142,3169,USER Laki-Laki hebat untuk #2019GantiPresiden ????,1,0,1,0,0,0,0,0,1
143,10945,USER Hanya orang bodoh yg pilih sontoloyo',1,1,0,1,0,0,0,0,1
144,7755,"""Sesungguhnya shalat yang paling berat dilaksanakan oleh orang-orang munafik adalah shalat isya dan shalat subuh."" (HR Bukhari)'",0,0,0,0,0,0,0,0,0
145,3529,"Kata-kata 'bodoh' 'dungu' dan 'idiot' semua secara teknis mengacu pada seseorang dengan nilai IQ di bawah 70. #Psikologi""",0,0,0,0,0,0,0,0,0
146,7250,USER APA HUHUNGANNYA BEGO SM LESBI ANJIR',0,1,0,0,0,0,0,0,0
147,3098,Mencari Huruf Hijaiyah-Dal-Anak Islam-Bersama Jamal Laeli; ; Assalamualaikum adik-adik... ; ; Mari kita lihat...,0,0,0,0,0,0,0,0,0
148,8926,Pak Lukman mau menjelaskan Indonesia Baru Tanpa Islam masih perlu bicara move on terlebih dulu,1,0,0,1,1,0,0,0,0
149,3249,"''Pao An Tui adalah sisi kelam masyarakat Cina di era awal kemerdekaan Indonesia..!\xe2\x80\x99\xe2\x80\x99pernyataan ini ditegaskan mantan wartawan senior Republika""",0,0,0,0,0,0,0,0,0
150,5362,RT USER: Ajari aku bagaimana bersikap masa bodo seperti yg kamu lakukan padaku \xf0\x9f\x98\x80',0,1,0,0,0,0,0,0,0
151,12875,lengserkan jokowi sekarang juga!!!,1,0,1,0,0,0,0,0,1
152,8009,USER Akunya milih bom',0,0,0,0,0,0,0,0,0
153,1857,"USER Eue ayo , dikasih ga?'",0,0,0,0,0,0,0,0,0
154,5687,Jilatin memek aku donk mau ?',0,1,0,0,0,0,0,0,0
155,7393,"Agak sedih sih vavang tampan mata sipit resign, cuman rada seneng juga jadi enggak ada yg vau vau tak menyenangkan hinggap di hidung ini'",0,0,0,0,0,0,0,0,0
156,8316,"USER ya gitu ya materi hukum, gw jg kesusahan di jurusan\xf0\x9f\x98\x82 tetep ada porsi susahnya masing2, apalagi lo dr ipa. gausah lah banding2in jurusan gw lebih susah lebih borjuis lebih elite lebih bagus. heleh tai kucing \xf0\x9f\x98\xa9'",1,1,1,0,0,0,0,0,1
157,11015,USER awas ada yang menggeranyangi silit mu nder',0,1,0,0,0,0,0,0,0
158,3354,"USER Udh tau kok ,pasukan nasi bungkus,yg kasihan itu mereka yg merasakan dki skrg,buat yg dki ,harap bersabar,ini cobaan wkwkwk'",0,0,0,0,0,0,0,0,0
159,12262,"USER Saya lebih ke curiga aja bib, tau2 takjilnya ada sianida, membunuh gantinya bom.. uwuwuww'",0,0,0,0,0,0,0,0,0
160,10033,HEH SINTING YA LU URL,1,1,1,0,0,0,1,0,0
